"track","artist"
"Purple Noise","Boris Brejcha"
"Gravity (feat. Laura Korinth) - Edit","Boris Brejcha"
"Your Mind","Adam Beyer"
"Lost Memory","Boris Brejcha"
"Return to Oz - ARTBAT Remix","Monolink"
"Phoenix - Unique Repeat Remix","Solee"
"Your Love Picks Me Up - Marco Faraone Remix","Nicole Moudaber"
"Bassface","Piero Pirupa"
"I Want You (Forever) - Josh Butler Remix - Radio Edit","Carl Cox"
"Kona","Alan Fitzpatrick"
"Doch","Stephan Hinz"
"Bad Behaviour","Dennis Cruz"
"Heartbreak","Hidden Face"
"Dark Rooms - Original Mix","Jay Lumen"
"Fugitives - Joseph Capriati Remix","Pan-Pot"
"I Wanna Go Bang","Bjarki"
"Alter Ego","N'to"
"Vibrancy - Original Mix","UMEK"
"Life Is A Song Worth Singing - Jamie Jones Remix","Teddy Pendergrass"
"Dusty","Sam Paganini"
"Late Night - Solomun Remix","Foals"
"Conjure Dreams","Maceo Plex"
"Astral Projection","Enrico Sangiuliano"
"Space Raiders - Charlotte de Witte Remix","Eats Everything"
"Liquid Slow","Chris Liebing"
"Another Club - Charlotte de Witte Remix","Radio Slave"
"Selected","Charlotte de Witte"
"Wisdom","Charlotte de Witte"
"Relatives Of None","Charlotte de Witte"
"Trip - Original Mix","Charlotte de Witte"
"This - Original Mix","Charlotte de Witte"
"Umkhuleko - Nostalgic Mix","The Godfathers Of Deep House SA"
"Back My Love","Stavros Sounds"
"Say It's Over","Ali Bakgor"
"Gave My Heart","Ali Bakgor"
"Falling Faster","Ali Bakgor"
"Memories","Ali Bakgor"
"Don't Tell Me","Ali Bakgor"
"Don't Know Why","Ali Bakgor"
